query_id,query,gold_ans,pred,f1,fail_class,bridge_complete,gold_in_selected,gold_text_in_sel
hotpot_5ae8164d5542994a481bbeb6,Emily Beecham is best known for her role in a televsion series whose second seas,"March 19, 2017",june 25 2017,0.333,G2_reasoning_error,False,True,True
hotpot_5a7149595542994082a3e76f,Who starred in Love and other drugs and The Simpsons?,"Henry Albert ""Hank"" Azaria",hank azaria,0.667,SUCCESS,True,True,True
hotpot_5a7f40de5542992e7d278cc8,What star if the Burbs was Canadian?,"Richard ""Rick"" Ducommun",i don t know,0.0,G3_abstention,False,True,True
hotpot_5a739323554299623ed4abff,"Which famous mine was in service first, the Salmita Mine or the Kanichee Mine?",Kanichee Mine,kanichee mine,1.0,SUCCESS,True,True,True
hotpot_5ab615cf554299488d4d9aa3,"Dawn Lake described the star of ""I Love Lucy"" as what?",our greatest comedienne,i don t know evidence does not provide dawn lake s description of star of i love lucy,0.0,G3_abstention,True,True,True
hotpot_5a84cb255542991dd0999dfa,Which singer of the Bee Gees sung a middle part of a song in which the majority ,Robin Gibb,robin gibb,1.0,SUCCESS,True,True,True
hotpot_5a7baae2554299042af8f794,By what name is the King that Gothard Wilhelm Butler was captain of the guard fo,Jan Kazimierz,jan kazimierz,1.0,SUCCESS,True,True,True
hotpot_5ae1b53b5542997283cd2255,What Indian government tag was given to the handicraft known for making simple l,Geographical Indication tag,geographical indication,0.8,SUCCESS,True,True,True
hotpot_5ab5d9af554299494045f07e,The son of former Giants co-owner Bob Tisch worked with who to produce The Testi,Mitchell Block and Michael Sarnoski,vanessa block,0.286,G2_reasoning_error,True,True,True
hotpot_5ab430f655429942dd415eca,"""The Chance of a Lunchtime"" is an episode of a BBC sitcom writtem by who?",John Sullivan,john sullivan,1.0,SUCCESS,True,True,True
hotpot_5adde2475542997545bbbdc1,"Who, born February 20, 1983, played for The Monarchs and in the World Series?",Justin Brooks Verlander,justin verlander,0.8,SUCCESS,True,True,True
hotpot_5a78ed6855429970f5fffdd9,What is the population of the town that gets it's water supply from Canobie Lake,"28,776 at the 2010 census",salem new hampshire,0.0,G1_confabulation,True,True,True
hotpot_5ac24d725542996366519966,"Who was Germany's large-scale, low strength fortification unit, disbanded in 191",Menges,landwehr,0.0,S2_selection_chunk_miss,True,True,False
hotpot_5a81a2e25542990a1d231e32,How many years did the creator of the The Jackie Thomas Show star in a a comedy ,nine,3 months,0.0,G1_confabulation,True,True,True
hotpot_5a82ebb855429966c78a6a9c,whats the famous bavagheet by arun date?,Shukratara,i don t know,0.0,G3_abstention,True,True,True
hotpot_5a7e96f655429934daa2fc39,What is the name of the actress who played as Blair Cramer from the daytime dram,Kassie DePaiva,kassie depaiva,1.0,SUCCESS,True,True,True
hotpot_5a843de75542992ef85e23b4,Which pirate-themed Las Vegas resort is one of many developed by Steve Wynn?,Treasure Island,wynn las vegas,0.0,G1_confabulation,True,True,True
hotpot_5a80b9df5542992bc0c4a7ec,What was the nickname of Judy Lewis's father?,"""The King of Hollywood""",clark gable,0.0,S2_selection_chunk_miss,False,True,False
hotpot_5ab2b6fb5542992953946848,The arena in which the Adelaide Adrenaline play is also home to the world's firs,indoor ski slope,indoor ski slope,1.0,SUCCESS,True,True,True
hotpot_5a7e618155429949594199b0,New York State Route 9R rejoins its parent in a hamlet located  in what New York,Albany,i don t know,0.0,G3_abstention,True,True,True
hotpot_5ac175635542994ab5c67d4b,Who replaced the manager of the Aston Villa that began at Leeds United?,Martin O'Neill,david o leary,0.333,G2_reasoning_error,True,True,True
hotpot_5ae73eca5542991e8301cc37,What other notable role did the star actor from Jeremy perform? ,the voice of The Beast,padmé amidala,0.0,S2_selection_chunk_miss,False,True,False
hotpot_5a8ef1e35542995a26add57a,The creator of the Lisa Simpson character was born in what year?,1954,1964,0.0,S2_selection_chunk_miss,True,True,False
hotpot_5a7f275d55429934daa2fd01,Are both Jonathan Marray and Wayne Black British?,no,no,1.0,SUCCESS,True,True,True
hotpot_5ab84dea55429934fafe6d4f,Were H. G. Wells and Rubén Darío both English?,no,no,1.0,SUCCESS,True,True,False
hotpot_5add3a605542990dbb2f7ddb,Were both Terence Fisher and Leopoldo Torre Nilsson British film directors?,no,no,1.0,SUCCESS,True,True,False
hotpot_5a8485fa5542992a431d1a41,"Who was the brother of the architect of Hook and Ladder No. 4 located in Albany,",Cuyler Reynolds,cuyler reynolds,1.0,SUCCESS,True,True,True
hotpot_5ae058e855429945ae959331,Are  Chrysalis and Look both women's magazines?,yes,no,0.0,S2_selection_chunk_miss,True,True,False
hotpot_5ab98e2b5542996be202054e,The person that William Flannery was an architect for entered the publishing bus,1887,1887,1.0,SUCCESS,True,True,False
hotpot_5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,saint paul,1.0,SUCCESS,True,True,True
hotpot_5a7d70d45542990b8f50398a,Which movie came out first Muppet Treasure Island or Million Dollar Arm ?,Muppet Treasure Island,muppet treasure island,1.0,SUCCESS,True,True,True
hotpot_5ac371aa5542995ef918c191,Socialist Thought and Practice was a magazine that was regarded as an important ,self-directed work processes,workers self management,0.286,G2_reasoning_error,True,True,True
hotpot_5ab3c18b55429969a97a81b0,When did Senator Ted Kennedy helped dedicate a new room at the location to his m,St. Patrick's Day in 1988,1988,0.286,G4_extraction_error,True,True,True
hotpot_5ab2a1f35542997061209677,The 2017 Los Angeles Chargers season was the first season under which coach that,Anthony Lynn,mike shanahan,0.0,G1_confabulation,True,True,True
hotpot_5a7b48b15542995eb53be8eb,These three apps that have similar functionality to Google for Education are com,Microsoft Office,microsoft office,1.0,SUCCESS,True,True,True
hotpot_5ab9668c55429970cfb8eaba,What major city is John Bice Memorial Oval located within?,City of Onkaparinga,christies beach,0.0,S2_selection_chunk_miss,False,True,False
hotpot_5a84ee4c5542997175ce1f2b,"WHich college is located in the United States, Grand Valley State University or ",Carleton University,grand valley state university,0.333,G2_reasoning_error,True,True,True
hotpot_5a7f7b3b5542992097ad2f81,"Which restaurant chain's headquarters is further north, Pizza Inn or Papa Gino's",Papa Gino's,dedham massachusetts,0.0,G1_confabulation,True,True,True
hotpot_5a777fd655429949eeb29e93,"What person, known also as Jane Ryan, has a four lane highway in the Philippines",Imelda Marcos,jane feather,0.0,G1_confabulation,True,True,True
hotpot_5ae4843455429970de88d997,"Which club, founded in 1928, did Bob Johnson played for ",The club,southport and darlington,0.0,G1_confabulation,False,True,True
hotpot_5a7149cf5542994082a3e773,What 2015 British-Canadian-Irish romantic drama was Finola Dwyer a producer of?,Brooklyn,brooklyn,1.0,SUCCESS,True,True,True
hotpot_5a7642f7554299109176e6e8,who is younger Ulrich Walter or  Luca Parmitano?,Luca Parmitano,luca parmitano,1.0,SUCCESS,True,True,True
hotpot_5ae2e61455429928c423953e,What is the inspirational source behind the name of this studio album by the Bri,Marx Brothers film,i don t know does not provide information about inspirational source of any album names in crown jewels,0.0,S2_selection_chunk_miss,True,True,False
hotpot_5ae73c065542991e8301cc18,"Which Eminem album included vocals from a singer who had an album titled ""Unapol","""The Marshall Mathers LP 2""",unapologetic,0.0,S2_selection_chunk_miss,True,True,False
hotpot_5ae3606b5542991a06ce99a8,"Philip Carlo, the author of the biography of the mob assasin Richard Kuklinsk, d",Lou Gehrig's Disease,als,0.0,G1_confabulation,True,True,True
hotpot_5a7631cd5542994ccc91870c,Where is the seminar Jeanne Marie Beaumont directed in 2007-2010 located?,"Franconia, New Hampshire",frost place,0.0,S2_selection_chunk_miss,False,True,False
hotpot_5ac471a5554299194317399a,"When was the Austrian ""Schutzstaffel"" (SS) officer born based on who's life Scha",8 April 1912,karl diebitsch,0.0,G1_confabulation,False,True,True
hotpot_5ac195455542991316484b40,"In what year did the man who shot the Chris Stockley, of The Dingoes, die?",1987,2003,0.0,S2_selection_chunk_miss,True,True,False
hotpot_5ab5052a5542990594ba9ccf,Who did a new permanent member on the fourteenth season of  So You Think You Can,Gabriella Montez,gabriella montez,1.0,SUCCESS,True,True,True
hotpot_5a8a0cb75542992d82986e7d,How long is the tidal estuary in which Branford is a shoreline town?,110 miles,17 miles,0.5,SUCCESS,True,True,True
hotpot_5ab2af1655429929539467eb,The Peak Galleria is located near the summit of a mountain that has an elevation,552,552 m,0.667,SUCCESS,True,True,False
hotpot_5abd0ac45542992ac4f381b5,Which retired baseball player played Chad Bradford in a movie adaptation of a Mi,Casey Bond,casey bond,1.0,SUCCESS,True,True,True
hotpot_5a77e9c055429949eeb29fa6,Which British-Mauritian model starred alongside Raj Babbar and Mahesh Manjrekar ,Bodyguard,hazel keech,0.0,G1_confabulation,True,True,True
hotpot_5a89382655429951533612e8,Who served as the 1st Vice President of Colombia under El Libertador?,Antonio Hilarión Zea Díaz,francisco antonio zea,0.571,SUCCESS,True,True,True
hotpot_5adcf20f5542994ed6169c2c,"Who directed the Hindi remake of the Korean film that starred Uhm Jung-hwa, Kim ",Ribhu Dasgupta.,ribhu dasgupta,1.0,SUCCESS,True,True,True
hotpot_5a7b60605542995eb53be931,"What is the year of the event which orrurred first, Beecher's Handmade Cheese wa",1907,1907,1.0,SUCCESS,True,True,False
hotpot_5a77b6535542995d83181274,What is the English translation of the noodle similar to Taglierini that is not ,little hairs,capellini,0.0,G1_confabulation,True,True,True
hotpot_5ae48aff5542996836b02cce,"When was George Harrison's second single from his album, that was made with risi",20 July 1981,20 july 1981,1.0,SUCCESS,True,True,True
hotpot_5a7793275542992a6e59df04,Which country is the firm that owns Babycham located?,Australia,australia,1.0,SUCCESS,False,True,True
hotpot_5ae5be475542990ba0bbb2c6,Which ground force of the Austro-Hungarian Dual Monarchy did Jan Romer joined ,The Austro-Hungarian Army,austro hungarian army,1.0,SUCCESS,True,True,True
hotpot_5a875b755542996e4f308796,"The song ""Medicine"" by The 1975 appears in a film directed by what Danish filmma",Nicolas Winding Refn,nicolas winding refn,1.0,SUCCESS,True,True,True
hotpot_5a8b120755429949d91db4a4,What country of origin does André Holland and 42 have in common?,American,netherlands,0.0,G1_confabulation,True,True,True
hotpot_5add23d05542994734353871,What is the primary duty of the Austrian Pinscher and the Maremma Sheepdog?,to guard,guard livestock,0.5,SUCCESS,True,True,True
hotpot_5ac3c08a5542995ef918c217,who features in the series  which McClure hosts ,the Simpson family,troy mcclure,0.0,S2_selection_chunk_miss,False,True,False
hotpot_5abe2b0155429976d4830a83,"Max Hoffmann along with Hindenburg and Ludendorff, masterminded the devastating ",26–30 August 1914,26–30 august 1914,1.0,SUCCESS,True,True,True
hotpot_5a7d119d5542995ed0d165d5,"Who was born more recent.y,Gunnar Nelson or Florence Welch?",Florence Leontine Mary Welch,florence welch,0.667,SUCCESS,True,True,True
hotpot_5ae22b8d554299234fd0440f,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,iffhs world s best goalkeeper,0.889,SUCCESS,True,True,True
hotpot_5ade02d05542997545bbbe0d,Shirley Breeden won her first Senate term in a narrow upset over the politician ,U.S. Army,u s army,1.0,SUCCESS,True,True,True
hotpot_5ae82c3d55429952e35eaa75,This high school located in the Bronzeville neighborhood was named after a settl,the British military,british,0.667,SUCCESS,True,True,False
hotpot_5ae54eea5542993aec5ec19d,"Which band was formed first, Wavves or Social Code?",Social Code,social code,1.0,SUCCESS,True,True,True
hotpot_5a7f62405542992e7d278cf0,"What was the name of the publisher who published ""Finnegans Wake"" in 1939 by Jam",Teriade,doubleday,0.0,S2_selection_chunk_miss,True,True,False
hotpot_5a8fb3af5542997ba9cb32ee,Are Out Traveler and Reader's Digest both magazines?,yes,yes,1.0,SUCCESS,True,True,False
hotpot_5a77919d5542995d831811dd,"Who was born first, Marino Girolami or Daniel Myrick?",Marino Girolami,marino girolami,1.0,SUCCESS,True,True,True
hotpot_5a79f04d5542996c55b2dca7,"Which long-established US university is older: University of California, Berkele","University of California, Berkeley",university of california berkeley,1.0,SUCCESS,True,True,True
hotpot_5add47085542997545bbbd13,"What English-American actor known for his role in ""Raiders of the Lost Ark"" star","Alfredo ""Alfred"" Molina",alfred molina,0.8,SUCCESS,True,True,True
hotpot_5ab808b85542991d3222380d,Umi-a-Liloa inherited authority of a kind which is a belief in what?,belief in many deities and spirits,polytheistic and animistic,0.222,G2_reasoning_error,True,True,True
hotpot_5a7b3fc155429931da12ca3a,Wexner Graduate Fellowships are given to students who show an ability of an indi,"other individuals, teams, or entire organizations",jewish community leaders,0.0,G1_confabulation,True,True,True
hotpot_5a81ff62554299676cceb1c4,What type of profession does Ithu Engal Neethi and Shoba Chandrasekhar have in c,director,producer,0.0,G1_confabulation,True,True,True
hotpot_5a8481ba5542997175ce1ed4,Den Tagayasu lived in the town that was bombed on which dates?,9–10 March 1945,9–10 march 1945,1.0,SUCCESS,True,True,True
hotpot_5a71095e5542994082a3e4f3,What is the name of Bruce Willis's character in Unbreakable?,David Dunn,david dunn,1.0,SUCCESS,True,True,True
hotpot_5a825f2155429954d2e2eb1b,Which former New York senator did Marc Elias help run for office? ,Hillary Rodham Clinton,hillary clinton,0.8,SUCCESS,True,True,False
hotpot_5ac45cfd554299076e296db5,How many years in prison did the Norfolk farmer defended by Anthony Scrivener se,three,three years,0.667,SUCCESS,True,True,True
hotpot_5ab611cc5542992aa134a411,What professions did S. Sylvan Simon and Danny Cannon have in common?,director and producer,director producer,0.8,SUCCESS,True,True,True
hotpot_5ac19bf55542994ab5c67d97,High Water is a song by Bob Dylan it was based on the 1927 Lousiana Flood. Anoth,Joe McCoy and Memphis Minnie,kansas joe mccoy and memphis minnie,0.909,SUCCESS,True,True,True
hotpot_5ae2ad6b5542996483e64a3d,David Thewlis had a performance in the film Macbeth as which father of Malcolm a,King Duncan,king duncan,1.0,SUCCESS,True,True,True
hotpot_5a733b835542991f9a20c6b2,"Which movie is loosley based off the Brother Grimm's ""Iron Henry""?",The Frog Prince,league of extraordinary gentlemen,0.0,G1_confabulation,False,True,True
hotpot_5a8affca55429971feec45e3, Cliburn railway station was a station situated on This railway that  ran betwee,Appleby-in-Westmorland,appleby in westmorland,1.0,SUCCESS,True,True,True
hotpot_5a7c8ae855429935c91b5207,Which member of The New Russian School was both a doctor and a chemist besides b,Alexander Porfiryevich Borodin,alexander borodin,0.8,SUCCESS,True,True,True
hotpot_5a7108fa5542994082a3e4ef,"Which battle, the Battle of Cold Harbor, or the Second Battle of Bull Run, was f",Second Battle of Bull Run,battle of cold harbor,0.444,G2_reasoning_error,True,True,True
hotpot_5a7f7e3a5542992097ad2f89,"What actor appeared in ""Evening in Byzantium"" and was nominated for the Academy ",Edward Albert Heimberger,eddie albert,0.4,G2_reasoning_error,True,True,True
hotpot_5abe3abb55429965af743ea1,What was the former name of the company which operates Hunterston Terminal?,Peel Holdings,peel group,0.5,SUCCESS,False,True,False
hotpot_5a8072a5554299485f5985f1,What separates the islands where the 2015 Africa Magic Viewers Choice Awards wer,creeks,victoria island and lagos,0.0,S2_selection_chunk_miss,False,True,False
hotpot_5ac30a79554299657fa290e2,What 2003 Christmas-themed romantic comedy did Gregor Fisher have a role in?,Love Actually,love actually,1.0,SUCCESS,True,True,True
hotpot_5ae09ea05542993d6555ebc1,The Bachelor was based on what novel written by an Austrian author?,"""Dr. Gräsler, Badearzt""",arthur schnitzler,0.0,G1_confabulation,False,True,True
hotpot_5a7c47c35542990527d55481,"In the 1970s, which group acquired this department store group in the United Kin",Army & Navy Stores,house of fraser,0.0,G1_confabulation,True,True,True
hotpot_5a79ca585542996c55b2dc71,"Who starred in the film The Human Factor in 1979, alongside fellow English actor",John Gielgud,nicol williamson,0.0,G1_confabulation,True,True,True
hotpot_5a8e3dc05542995085b37401,"Which case was decided first, Selle v. Gibb or Reynolds v. Sims?",1964,reynolds v sims,0.0,S2_selection_chunk_miss,True,True,False
hotpot_5ae1e80b5542997f29b3c197,Progress MS-09 was used to resupply the satellite that first launched into orbit,1998,1991,0.0,S2_selection_chunk_miss,True,True,False
hotpot_5a8d02cc554299441c6b9fb6,"John MacGregor, Baron MacGregor of Pulham Market was educated at the University ",King George IV,king s college london,0.286,G2_reasoning_error,True,True,True
hotpot_5ae250b45542996483e64977,What job did Newt Gingrich have prior to producing Nine Days that Changed the Wo,former Speaker of the U.S. House of Representatives,speaker of house,0.545,SUCCESS,True,True,True
hotpot_5a90386455429916514e7435,In what town is Suffolk county hamlet that was served by the Suffolk Traction Co,Town of Islip,blue point,0.0,G1_confabulation,False,True,True
hotpot_5a8704f8554299211dda2ba4,What is the name of the Isles who were led by Aonghus Mór and covered a total la,Kingdom of the Isles,hebrides,0.0,G1_confabulation,True,True,True
hotpot_5a8a58f355429930ff3c0da3,Were Daniel Mann and Todd Solondz both directors?,yes,yes,1.0,SUCCESS,True,True,False
hotpot_5a7153d05542994082a3e7dc,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, t",Nusretiye Mosque,nusretiye mosque,1.0,SUCCESS,True,True,True
hotpot_5a7518cb55429916b0164259,What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother,Rafael Márquez,rafael márquez,1.0,SUCCESS,True,True,True
hotpot_5a8bba645542995e66a474e5,When was the  Australian competition NSWRL formed in which H Kaufman was a rugby,8 August 1907,1907,0.5,SUCCESS,True,True,True
hotpot_5ac2d85e55429921a00ab06b,Where did the hijacked plane rammed by Heather Penney crash? ,Pennsylvania,somerset county pennsylvania,0.5,SUCCESS,True,True,True
hotpot_5a8587dd5542997b5ce40000,What program did this Basham brother who appeared with World Wrestling Entertain,Total Nonstop Action Wrestling,raw,0.0,G1_confabulation,True,True,True
hotpot_5ae55b8255429908b63265ef,What chef is the owner of a Japanese restaurant in the Tribeca neighborhood and ,"Masayoshi ""Masa"" Takayama",masa takayama,0.8,SUCCESS,True,True,True
hotpot_5adc8977554299438c868de2,What does the goddess associated with the goddess frigg  consists of what tales?,"various deities, beings, and heroes",fulla hlín gná,0.0,G1_confabulation,True,True,True
hotpot_5abbb64455429931dba144b4,The Trans-Tasman Challenge winning car was based off which second generation Nor,Ford Falcon,ford falcon,1.0,SUCCESS,True,True,True
hotpot_5a7c6d98554299683c1c6304,What ABC television series was inspired by a 2011 film and cast Dominic Cooper a,Agent Carter,agent carter,1.0,SUCCESS,True,True,True
hotpot_5a87c19a5542994846c1cde6,"Which shore does the castle, which Sir James Montgomery, 4th Baronet is the tent",Firth of Clyde,eastern,0.0,G1_confabulation,True,True,True
hotpot_5a8796f75542996e4f308865,The Red Butte Creek oil spill occurre din a pipeline that was owned by what succ,Chevron Corporation,chevron,0.667,SUCCESS,True,True,True
hotpot_5a771e3255429966f1a36c78,What German computer repair technician may have inspired Diary of a Cannibal,Armin Meiwes,armin meiwes,1.0,SUCCESS,True,True,True
hotpot_5a874ce15542996432c57256,Where was the person born who was recognized by MIAL and is an American soprano?,"Laurel, Mississippi",laurel mississippi,1.0,SUCCESS,False,True,True
