query_id,query,gold_ans,pred,f1,fail_class,bridge_complete,gold_in_selected,gold_text_in_sel
2wiki_706a0131089011ebbd72ac1f6bf848b6,"Which film has the director who was born earlier, Time For Loving or Un'Altra Vi",Time For Loving,time for loving,1.0,SUCCESS,False,True,True
2wiki_4126d0220bda11eba7f7acde48001122,What nationality is the director of film The Tower Of Lies?,Swedish,american,0.0,S2_selection_chunk_miss,False,True,False
2wiki_5c0ee543084b11ebbd56ac1f6bf848b6,"Are both movies, Crossing The Line 2: The New Face Of Anti-Semitism On Campus an",yes,i don t know,0.0,S2_selection_chunk_miss,True,True,False
2wiki_6355d0d1095011ebbdaeac1f6bf848b6,Are Chemours and Hadag located in the same country?,no,no,1.0,SUCCESS,True,True,False
2wiki_6a020c2a08b811ebbd88ac1f6bf848b6,"Which film has the director who was born earlier, Holiday Hotel or Old Mother Ri",Old Mother Riley'S Ghosts,robert aldrich,0.0,G1_confabulation,False,True,True
2wiki_583d12bc096b11ebbdafac1f6bf848b6,"Which film was released first, Assault On Dome 4 or The Battle Of The Rails?",The Battle Of The Rails,battle of rails,1.0,SUCCESS,True,True,True
2wiki_9cba304f088a11ebbd6fac1f6bf848b6,"Which film has the director who is older, Bhoodana or Scanners?",Bhoodana,bhoodana,1.0,SUCCESS,False,True,True
2wiki_c4be0aba0bdd11eba7f7acde48001122,What is the place of birth of Pepin The Hunchback's father?,Frankish Kingdom,aachen,0.0,S2_selection_chunk_miss,True,True,False
2wiki_4f81c5260bdc11eba7f7acde48001122,Who is the spouse of the director of film Geordie (Film)?,Bernadette O'Farrell,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_a605c3e20bdd11eba7f7acde48001122,What nationality is Wenceslaus I Of Legnica's father?,Poland,bohemian,0.0,G1_confabulation,True,True,True
2wiki_0c13a2ca088811ebbd6eac1f6bf848b6,"Which film has the director born first, The King'S Pirate or Trauma (1993 Film)?",The King'S Pirate,don weis,0.0,G1_confabulation,False,True,True
2wiki_abd867e0091a11ebbdaeac1f6bf848b6,"Which film was released earlier, Parayanumvayya Parayathirikkanumvayya or The Wi",The Witch'S Mirror,witch s mirror,1.0,SUCCESS,True,True,True
2wiki_fe3c9f0e0bdd11eba7f7acde48001122,What is the date of death of Begga's husband?,662,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_a4effe30089211ebbd73ac1f6bf848b6,"Which film came out earlier, Painted Post (Film) or Katka'S Reinette Apples?",Katka'S Reinette Apples,katka s reinette apples,1.0,SUCCESS,True,True,True
2wiki_fe91ee700bdb11eba7f7acde48001122,When did Prince Alexander Romanov's father die?,12 September 1974,12 september 1974,1.0,SUCCESS,True,True,True
2wiki_10ae1b5c088411ebbd6dac1f6bf848b6,"Which film whose producer was born first, All-American Co-Ed or Lagu Kenangan?",All-American Co-Ed,p nagarajan,0.0,G1_confabulation,False,True,True
2wiki_8ac9de5608e011ebbda1ac1f6bf848b6,"Which film has the director born first, Stella'S Oorlog or Don Juan In A Girls' ",Don Juan In A Girls' School,reinhold schünzel,0.0,G1_confabulation,False,True,True
2wiki_050b59380bde11eba7f7acde48001122,Where was the father of Lope Díaz Ii De Haro born?,Nájera,i don t know,0.0,S2_selection_chunk_miss,True,True,False
2wiki_77f3d9300bb011ebab90acde48001122,Who is Germaine Of Foix's paternal grandfather?,Gaston IV of Foix,gaston iv of foix,1.0,SUCCESS,True,True,True
2wiki_91e7e3780baf11ebab90acde48001122,Who is the father-in-law of Ri Sol-Ju?,Kim Jong-il,i don t know,0.0,G3_abstention,True,True,True
2wiki_ec9f313c08c211ebbd8cac1f6bf848b6,"Which film was released earlier, The Pistol: The Birth Of A Legend or Unborn In ",The Pistol: The Birth Of A Legend,unborn in usa,0.0,G1_confabulation,True,True,True
2wiki_f7c2a5380bdd11eba7f7acde48001122,Where was the place of death of Thomas Sheridan (Soldier)'s father?,London,i don t know,0.0,G3_abstention,False,True,True
2wiki_e6b3f29c0bdd11eba7f7acde48001122,"What is the date of death of Elizabeth Trussell, Countess Of Oxford's husband?",21 March 1540,i don t know,0.0,G3_abstention,False,True,True
2wiki_164404960bdb11eba7f7acde48001122,Where was the place of burial of the performer of song Magic (Nick Drake Song)?,Warwickshire,i don t know,0.0,G3_abstention,True,True,True
2wiki_d133120e0bdd11eba7f7acde48001122,What is the place of birth of the performer of song Down Ass Bitch?,Queens,queens new york,0.5,SUCCESS,True,True,True
2wiki_cab3205608d411ebbd98ac1f6bf848b6,"Which film came out earlier, Der Wixxer or The Butterfly Room?",Der Wixxer,der wixxer,1.0,SUCCESS,True,True,True
2wiki_351cf6fc086a11ebbd5fac1f6bf848b6,"Which film was released first, Sunyo Je Kol or Nilavu?",Nilavu,sunyo je kol,0.0,G1_confabulation,True,True,True
2wiki_f420d4a008a311ebbd7cac1f6bf848b6,"Which film has the director born first, Antonieta or Dodging The Dole?",Dodging The Dole,antonieta,0.0,G1_confabulation,False,True,True
2wiki_5d0eadd80bde11eba7f7acde48001122,Where did Maria Quisling's husband die?,Akershus Fortress,oslo,0.0,G1_confabulation,True,True,True
2wiki_e81159820bdc11eba7f7acde48001122,What nationality is Peter Tempesta's father?,Kingdom of Sicily,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_831ac80108e011ebbda1ac1f6bf848b6,"Which film has the director died first, Swing Hostess or The Pottery Maker?",The Pottery Maker,sam newfield,0.0,G1_confabulation,False,True,True
2wiki_253e36700bda11eba7f7acde48001122,"Where was the father of Prince Charles Louis, Duke Of Chartres born?",Rabat,madrid,0.0,S2_selection_chunk_miss,False,True,False
2wiki_d03663e108e211ebbda4ac1f6bf848b6,"Are both rivers, Cracăul Negru and Răstolț, located in the same country?",yes,no,0.0,S2_selection_chunk_miss,True,True,False
2wiki_e380d24a0bdb11eba7f7acde48001122,Where was the performer of song Now That I'Ve Found You born?,Amstelveen,college park georgia,0.0,S2_selection_chunk_miss,False,True,False
2wiki_0983b07c0bda11eba7f7acde48001122,Where was the director of film The Big Animal born?,Kraków,warsaw poland,0.0,S2_selection_chunk_miss,False,True,False
2wiki_b26e04e80bdb11eba7f7acde48001122,Who is the father of the director of film Mirage (1972 Film)?,Daniel Alomía Robles,i don t know,0.0,G3_abstention,False,True,True
2wiki_f0696baa0bdd11eba7f7acde48001122,"What is the date of death of Leicester Devereux, 7Th Viscount Hereford's father?",1 December 1676,i don t know,0.0,G3_abstention,True,True,True
2wiki_561a61ae0bdc11eba7f7acde48001122,Where was the place of death of Sirikit's husband?,Siriraj Hospital,i don t know,0.0,S2_selection_chunk_miss,True,True,False
2wiki_f77f95da0bd911eba7f7acde48001122,Where did the director of film Lucky Ladies die?,Arcadia,arcadia california,0.667,SUCCESS,True,True,True
2wiki_9eb76ea408ba11ebbd88ac1f6bf848b6,"Which film has the director who died earlier, Deuces Wild or Cavalcade Of The We",Cavalcade Of The West,cavalcade of west,1.0,SUCCESS,False,True,True
2wiki_7327e1d9089211ebbd73ac1f6bf848b6,Did Dave Jauss and Carol Hitchcock have the same nationality?,no,no,1.0,SUCCESS,True,True,False
2wiki_d8c1e2ac0bdd11eba7f7acde48001122,Where was the director of film The Ladies Club born?,Ohio,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_f6201efa0bdc11eba7f7acde48001122,Who is the spouse of the director of film Confidentially Connie?,Ona Munson,i don t know,0.0,S2_selection_chunk_miss,True,True,False
2wiki_e353ff9f088511ebbd6dac1f6bf848b6,"Which film whose director was born first, Thirumalai Thenkumari or Devil'S Squad",Devil'S Squadron,i don t know,0.0,G3_abstention,False,True,True
2wiki_a8bff83c0bdd11eba7f7acde48001122,Which country Heinz Heydrich's father is from?,German,germany,0.0,G1_confabulation,True,True,True
2wiki_225601a60bdd11eba7f7acde48001122,"Where was the composer of song Oh Boy, Oh Boy, Oh Boy! born?",Örgryte,örgryte,1.0,SUCCESS,True,True,False
2wiki_a96f0a34087911ebbd67ac1f6bf848b6,"Who was born later, Tony Iob or Hilary Thayer Hamann?",Tony Iob,hilary thayer hamann,0.0,G1_confabulation,True,True,True
2wiki_95cf97b40bdd11eba7f7acde48001122,Where was the wife of Lev Karakhan born?,Petersburg,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_0b0f34d6084a11ebbd55ac1f6bf848b6,"Which film whose director is younger, Keep 'Em Rolling or Balipeetam?",Balipeetam,george archainbaud,0.0,G1_confabulation,False,True,True
2wiki_1750e0c408dc11ebbd9cac1f6bf848b6,Are Jan Bondeson and Eric Ericson both from the same country?,yes,no,0.0,S2_selection_chunk_miss,True,True,False
2wiki_e8ab96900bdd11eba7f7acde48001122,Where was the director of film Fox Trap born?,Scotland,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_9324a6ee0bdd11eba7f7acde48001122,"What is the date of death of William Brownlow, 3Rd Baron Lurgan's father?",15 January 1882,i don t know,0.0,G3_abstention,True,True,True
2wiki_965aebbc0bdc11eba7f7acde48001122,What nationality is John North (Trinity)'s father?,English,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_c6f06d000bdd11eba7f7acde48001122,What nationality is Phintys's father?,Athens,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_c2f5b4900baf11ebab90acde48001122,Who is the maternal grandfather of Suddha Dibyaratana?,Mongkut,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_05b1ac800bdd11eba7f7acde48001122,Where was the director of film Broadway Gold born?,New York,brooklyn,0.0,G1_confabulation,False,True,True
2wiki_4fa6906408f211ebbdaaac1f6bf848b6,"Who was born first, François D'Escoubleau De Sourdis or Caroline Hazard?",François D'Escoubleau De Sourdis,françois d escoubleau de sourdis,1.0,SUCCESS,True,True,True
2wiki_77f562320bb011ebab90acde48001122,Who is the maternal grandfather of Baldwin Iv Of Jerusalem?,Joscelin II,i don t know,0.0,G3_abstention,True,True,True
2wiki_5f11552d08b911ebbd88ac1f6bf848b6,"Which film has the director died first, Leave Her To Heaven or A Roman Scandal?",Leave Her To Heaven,john m stahl,0.0,G1_confabulation,False,True,True
2wiki_ad87ae3c097111ebbdb0ac1f6bf848b6,"Which film came out first, Nadhi Karaiyinile or 9 Millimeter?",9 Millimeter,9 millimeter,1.0,SUCCESS,True,True,True
2wiki_620b93c3086511ebbd5eac1f6bf848b6,"Which film was released earlier, Usa Vs. Al-Arian or Alaloum?",Alaloum,alaloum,1.0,SUCCESS,True,True,True
2wiki_5ca93c720bda11eba7f7acde48001122,Where was the place of death of the performer of song The Mary Ellen Carter?,Greater Cincinnati Airport,peterborough ontario,0.0,S2_selection_chunk_miss,False,True,False
2wiki_00310dc8094611ebbdaeac1f6bf848b6,"Which film was released earlier, Little Buddha or Course For Collision?",Course For Collision,course for collision,1.0,SUCCESS,True,True,True
2wiki_7de481100baf11ebab90acde48001122,"Who is Charles Willoughby, 10Th Baron Willoughby Of Parham's paternal grandmothe",Lady Frances Manners,i don t know,0.0,G3_abstention,True,True,True
2wiki_67ecf3100bdc11eba7f7acde48001122,Where was the director of film Edges Of The Lord born?,Poznań,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_9ff14fea0baf11ebab90acde48001122,Who is the mother of Adelaide Of Normandy?,Herleva,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_3edeb32a0bda11eba7f7acde48001122,Where was the place of death of the composer of film Dream Wife?,Pacific Palisades,worthing sussex,0.0,G1_confabulation,True,True,True
2wiki_3408c15f08f411ebbdaaac1f6bf848b6,Do Beth Willman and Elva Dryer share the same nationality?,yes,yes,1.0,SUCCESS,True,True,False
2wiki_70026a3208ce11ebbd94ac1f6bf848b6,"Which film has the director died later, Chunmiao or Mothers Cry?",Chunmiao,chunmiao,1.0,SUCCESS,False,True,True
2wiki_c731fe020bdb11eba7f7acde48001122,What is the award that the director of film Footy Legends won?,Young Australian of the Year,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_c19b29260bdd11eba7f7acde48001122,What is the place of birth of the composer of film Body Melt?,Melbourne,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_5b44ffb00bda11eba7f7acde48001122,Where was the director of film Blood Father born?,Paris,jean françois richet,0.0,S2_selection_chunk_miss,False,True,False
2wiki_a7049a260baf11ebab90acde48001122,Who is Charles Ii Of Navarre's maternal grandfather?,Louis X of France,joan ii of navarre,0.25,G2_reasoning_error,True,True,True
2wiki_950aecb008dc11ebbd9cac1f6bf848b6,"Which film has the director who died first, Lenin In 1918 or Beauty'S Worth?",Beauty'S Worth,ulysses davis,0.0,G1_confabulation,False,True,True
2wiki_ef8a103a0bd911eba7f7acde48001122,What is the place of birth of the director of film Home On The Prairie?,Kansas City,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_395a691b08cb11ebbd92ac1f6bf848b6,"Which film has the director who died first, City Across The River or The Lure Of",The Lure Of Heart'S Desire,maxwell shane,0.0,G1_confabulation,False,True,True
2wiki_c6431e7a08d111ebbd95ac1f6bf848b6,"Which film has the director who was born later, Marakka Mudiyumaa? or Experiment",Marakka Mudiyumaa?,marakka mudiyumaa,1.0,SUCCESS,False,True,True
2wiki_dc43cb480bdd11eba7f7acde48001122,What is the place of birth of the performer of song Don'T Let Me Down (Leona Lew,London,london,1.0,SUCCESS,True,True,True
2wiki_70486e5808d111ebbd95ac1f6bf848b6,"Which film has the director who is older, Consider The Source (Web Series) or My",My Best Friend'S Wife,brent hodge,0.0,G1_confabulation,False,True,True
2wiki_f586c9d208d011ebbd95ac1f6bf848b6,"Who died later, Violet Bathurst, Lady Apsley or Charlotte Bühler?",Charlotte Bühler,charlotte bühler,1.0,SUCCESS,True,True,True
2wiki_76ec405f08b811ebbd88ac1f6bf848b6,"Which film was released earlier, Drive, He Said or Ocean Of Pearls?","Drive, He Said",drive he said,1.0,SUCCESS,True,True,True
2wiki_8d9cf88009b311ebbdb0ac1f6bf848b6,Are Tarucani and Ancahuachana (Quispicanchi) located in the same country?,yes,no,0.0,S2_selection_chunk_miss,True,True,False
2wiki_1442e9a20bde11eba7f7acde48001122,Where was the father of Helen Of Greece And Denmark born?,Athens,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_5029152e085d11ebbd5cac1f6bf848b6,"Who died later, Madan Mohan Mishra or George Forty?",George Forty,madan mohan mishra,0.0,G1_confabulation,True,True,True
2wiki_6faf10f40bde11eba7f7acde48001122,What nationality is Ameena Begum's husband?,Indian,i don t know,0.0,G3_abstention,False,True,True
2wiki_d02fa7e508ab11ebbd82ac1f6bf848b6,"Which film has the director who died earlier, Springtime In The Rockies or Train",Springtime In The Rockies,mario caiano,0.0,G1_confabulation,False,True,True
2wiki_b9d18962093511ebbdaeac1f6bf848b6,"Which film came out earlier, Dracula In The Provinces or The Seduction Of Mimi?",The Seduction Of Mimi,1972,0.0,G1_confabulation,True,True,True
2wiki_7b23bf7c08cb11ebbd92ac1f6bf848b6,"Did the movies Boynton Beach Club and The Conformist (1970 Film), originate from",no,no,1.0,SUCCESS,True,True,True
2wiki_f727fd12096c11ebbdafac1f6bf848b6,"Which film came out earlier, The Remains Of Nothing or Crime In The Streets?",Crime In The Streets,crime in streets,1.0,SUCCESS,True,True,True
2wiki_2b3c1d2e086711ebbd5eac1f6bf848b6,"Are the bands The Lone Bellow and Xcrosscheckx, from the same country?",no,no,1.0,SUCCESS,True,True,True
2wiki_083d0aa808a411ebbd7cac1f6bf848b6,"Which film has the director who died earlier, A Little Sex or Our Crazy Aunts?",Our Crazy Aunts,little sex,0.0,G1_confabulation,False,True,True
2wiki_7c24f3260bd911eba7f7acde48001122,Where did the director of film Hero At Large study?,American Academy of Dramatic Arts,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_5ba8454a0bdd11eba7f7acde48001122,What is the place of birth of the director of film Three Days Of Rain (Film)?,Dallas,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_02acaafe084e11ebbd56ac1f6bf848b6,"Which film was released more recently, A Small Ball Shot By A Midget or I'M Not ",I'M Not There,i m not there,1.0,SUCCESS,True,True,True
2wiki_36cb45080bdb11eba7f7acde48001122,Who is the spouse of the performer of song Free (Sarah Brightman Song)?,Andrew Lloyd Webber,paul dans,0.0,G1_confabulation,True,True,True
2wiki_2f3b107c0bde11eba7f7acde48001122,Where does the director of film Team America: World Police work at?,Comedy Central,trey parker,0.0,S2_selection_chunk_miss,True,True,False
2wiki_a50f86fd08aa11ebbd80ac1f6bf848b6,"Who died first, Albertus Seba or Ali Dinar?",Albertus Seba,albertus seba,1.0,SUCCESS,True,True,True
2wiki_61b28c2609a411ebbdb0ac1f6bf848b6,"Which song was released earlier, Going Nowhere or Zamina Mina (Zangaléwa)?",Zamina Mina (Zangaléwa),zamina mina zangaléwa,1.0,SUCCESS,True,True,True
2wiki_91919890092411ebbdaeac1f6bf848b6,"Which film was released more recently, Carnival Night or True As A Turtle?",True As A Turtle,true as turtle,1.0,SUCCESS,True,True,True
2wiki_eadb2cac085711ebbd5aac1f6bf848b6,Do director of film Captured! and director of film Sand (1949 Film) share the sa,yes,no,0.0,S2_selection_chunk_miss,False,True,False
2wiki_dc34e9fc0bdd11eba7f7acde48001122,Where does Ekaterina Rybolovleva's father work at?,Uralkali,as monaco fc,0.0,G1_confabulation,True,True,True
2wiki_0c29c8360bdd11eba7f7acde48001122,Where was the place of death of Lupe Rumazo's father?,Caracas,i don t know,0.0,G3_abstention,True,True,True
2wiki_dc0f51e20bdd11eba7f7acde48001122,"When did Geoffrey Ii, Count Of Perche's father die?",1 March 1080,i don t know,0.0,G3_abstention,True,True,True
2wiki_05ca5a800bda11eba7f7acde48001122,Where did the composer of film Pepo (Film) die?,Moscow,i don t know,0.0,G3_abstention,False,True,True
2wiki_2ad0448f088811ebbd6eac1f6bf848b6,Are both Flying Fifty-Five and Approaching Midnight from the same country?,no,no,1.0,SUCCESS,True,True,True
2wiki_79f971d8085211ebbd58ac1f6bf848b6,"Which film has the director who died later, It Happened In New York or Fløjtespi",Fløjtespilleren,fløjtespilleren,1.0,SUCCESS,False,True,False
2wiki_315872d20bde11eba7f7acde48001122,"What is the place of birth of Pons, Count Of Toulouse's wife?",French,castle of corneto near siena,0.0,G1_confabulation,False,True,True
2wiki_e668ce940baf11ebab90acde48001122,Who is Maria Amalia Of Naples And Sicily's father-in-law?,"Louis Philippe II, Duke of Orléans",king louis philippe i of france,0.5,SUCCESS,False,True,True
2wiki_8348fe4e0bda11eba7f7acde48001122,Where did Elliott Bulloch Roosevelt's father die?,New York,i don t know,0.0,G3_abstention,True,True,True
2wiki_f99150ee0bdd11eba7f7acde48001122,Where was the mother of Elizabeth Stafford born?,English,i don t know,0.0,G3_abstention,True,True,True
2wiki_18035ea008be11ebbd8aac1f6bf848b6,"Which film has the director who was born earlier, Marooned In Iraq or The Woman ",The Woman In 47,george irving,0.0,G1_confabulation,False,True,True
2wiki_7d88d84d08bc11ebbd88ac1f6bf848b6,"Which film has the director born later, Saturn In Opposition or Daughters Of Ple",Saturn In Opposition,dario argento,0.0,G1_confabulation,False,True,True
2wiki_30f417d208e211ebbda3ac1f6bf848b6,"Which film has the director who is older, Death For Sale or The Fitzgerald Famil",Death For Sale,edward burns,0.0,G1_confabulation,True,True,True
2wiki_0518615a0bde11eba7f7acde48001122,What is the date of death of Papianilla (Wife Of Sidonius Apollinaris)'s husband,489,august 489 ad,0.5,SUCCESS,True,True,False
2wiki_af4a1c3008a811ebbd7fac1f6bf848b6,"Who was born first, Solveig Langkilde or Ellen Stewart?",Ellen Stewart,ellen stewart,1.0,SUCCESS,True,True,True
2wiki_9d82988608d511ebbd98ac1f6bf848b6,"Which film has the director born earlier, The Leisure Seeker or The Good Heart?",The Leisure Seeker,paolo virzì,0.0,G1_confabulation,False,True,True
2wiki_d3f31923087111ebbd63ac1f6bf848b6,"Who died later, Johann Joachim Bellermann or Helen Boughton-Leigh?",Helen Boughton-Leigh,helen boughton leigh,1.0,SUCCESS,True,True,True
2wiki_2d907ba60bdc11eba7f7acde48001122,What is the place of birth of the director of film Operation Secret?,New York,new york city,0.8,SUCCESS,False,True,True
2wiki_604c298a0bde11eba7f7acde48001122,Where did the director of film Janmabhoomi (1969 Film) graduate from?,FTII,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_3bc5c900088111ebbd6dac1f6bf848b6,"Who was born later, Claude-François-Dorothée, Marquis De Jouffroy D'Abbans or Ma","Claude-François-Dorothée, Marquis De Jouffroy D'Abbans",claude françois dorothée marquis de jouffroy d abbans,1.0,SUCCESS,True,True,True
2wiki_2ab9645a0bdd11eba7f7acde48001122,Where was the director of film Corazón (Film) born?,Valparaíso,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_5383f5da0bdd11eba7f7acde48001122,What nationality is the director of film Violet Tendencies?,Sweden,german,0.0,S2_selection_chunk_miss,False,True,False
2wiki_2e84e4680bda11eba7f7acde48001122,Which country the director of film Kailangan Ko'Y Ikaw is from?,Philippines,filipino,0.0,S2_selection_chunk_miss,False,True,False
2wiki_73a066fc085c11ebbd5cac1f6bf848b6,Are the directors of films C-Man (Film) and Greencastle (Film) both from the sam,no,no,1.0,SUCCESS,False,True,False
2wiki_5d8037920bb011ebab90acde48001122,Who is the paternal grandmother of King Kang Of Zhou?,Yi Jiang,i don t know,0.0,G3_abstention,True,True,True
2wiki_df85733a0bdb11eba7f7acde48001122,Who is the spouse of the director of film The Phantom Of The Operetta (1960 Film,Mapy Cortés,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_be10def8092911ebbdaeac1f6bf848b6,"Which film was released more recently, Return To Macon County or Nightmare Honey",Return To Macon County,nightmare honeymoon,0.0,G1_confabulation,True,True,True
2wiki_8a1b6bf4089b11ebbd78ac1f6bf848b6,"Which film has the director who was born first, Swabhimana or Mission Allahu Akb",Swabhimana,i don t know,0.0,G3_abstention,False,True,True
2wiki_6ae79dd40bde11eba7f7acde48001122,What is the place of birth of the director of film My Divine Poverty?,Italy,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_d10e511a0bda11eba7f7acde48001122,What nationality is Imperial Noble Consort Shujia's husband?,Qing dynasty,manchu,0.0,G1_confabulation,False,True,True
2wiki_e5fa9df9085c11ebbd5cac1f6bf848b6,Was Humbert Lundén or Zita Hanrot born first?,Humbert Lundén,humbert lundén,1.0,SUCCESS,True,True,True
2wiki_a4f646340bdd11eba7f7acde48001122,What nationality of the company that manufactured Bottle Caps (Candy)?,Swiss,swiss,1.0,SUCCESS,True,True,True
2wiki_442430e20bdc11eba7f7acde48001122,What is the place of birth of the director of film The Haunting Of Morella?,New York,nashville tennessee,0.0,G1_confabulation,False,True,True
2wiki_eafb6d960bae11ebab90acde48001122,Who is the paternal grandfather of Muhammad Ibn Badlay?,Sa'ad ad-Din II,i don t know,0.0,G3_abstention,True,True,True
2wiki_101ad2d0085111ebbd58ac1f6bf848b6,"Which film came out first, The Human Goddess or The Day Of The Wolves?",The Day Of The Wolves,day of wolves,1.0,SUCCESS,True,True,True
2wiki_6f73a8a20bde11eba7f7acde48001122,"Where did the director of film The $1,000,000 Reward study?",Amherst,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_914b17aa0bdc11eba7f7acde48001122,Who is the father of the director of film Robert Rylands' Last Journey?,Elías Querejeta,i don t know,0.0,G3_abstention,False,True,True
2wiki_1c0a564f08c711ebbd91ac1f6bf848b6,Are both director of film Un Étrange Voyage and director of film Les Grands Ducs,yes,no,0.0,S2_selection_chunk_miss,False,True,False
2wiki_43dd26de086211ebbd5dac1f6bf848b6,"Which film was released more recently, The Petty Girl or Pulijanmam?",Pulijanmam,pulijanmam,1.0,SUCCESS,True,True,True
2wiki_e8e3f64a0bdb11eba7f7acde48001122,Where was the place of death of Duke Constantine Petrovich Of Oldenburg's mother,Prague,i don t know,0.0,S2_selection_chunk_miss,False,True,False
2wiki_9d5ec862097b11ebbdb0ac1f6bf848b6,Are both Kafrahlat Jallad and Qatma located in the same country?,yes,no,0.0,S2_selection_chunk_miss,True,True,False
